issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39375,Done,Duplicate,Business Design Centre,2025-10-23T20:17:00+00:00,2025-10-23T20:23:00+00:00,6.00,1.00,2.67,0.00,291,4,2,4,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:a701b401-25f4-4f8e-8cb7-2c3444691e5c,true,true,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39374,Done,Done,Saba Stratford,2025-10-23T20:06:00+00:00,2025-10-23T20:20:00+00:00,14.00,1.00,5.00,0.00,294,5,4,4,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:6f8e9470-77f2-4707-a63d-cbe4649de475,true,true,false,0,false,0,,,,,Request to transfer subscription/pass to a different hub,,,,,gpt-4o-mini,,,
CC-39373,Done,Done,Saba Stratford,2025-10-23T19:57:00+00:00,2025-10-23T20:13:00+00:00,16.00,1.00,8.00,0.50,291,4,2,2,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4a40514f-9b1a-4bfe-b857-328920761c66,true,true,false,0,false,0,,,,,General information request about the service,,,,,gpt-4o-mini,,,
CC-39372,Done,Done,Saba Stratford,2025-10-23T19:25:00+00:00,2025-10-23T20:38:00+00:00,73.00,1.00,6.91,1.80,308,13,10,12,712020:0f747479-10c0-4ae9-8ae7-7531f3554784;712020:2d004b64-fe43-43ea-94c6-0a1d558883d4,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4fb31910-2857-4f0b-a055-2558d527245f,true,true,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39371,Done,Done,No active pass / Other,2025-10-23T19:19:00+00:00,2025-10-23T20:40:00+00:00,81.00,3.00,29.00,0.00,293,5,3,4,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:db595768-d129-4eb2-b11a-c1c585afb262,true,true,false,0,false,0,,,,,info/question about my current subscription / pass,,,,,gpt-4o-mini,,,
CC-39370,Done,Done,Q-Park Leicester Square,2025-10-23T18:52:00+00:00,2025-10-23T19:16:00+00:00,24.00,1.00,11.33,0.00,290,4,1,2,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:20a68ba4-de91-4e46-9bd0-802747c9f59b,true,true,false,0,false,0,,,,,Customer Feedback,,,,,gpt-4o-mini,,,
CC-39369,Done,Done,Q-Park Leicester Square,2025-10-23T18:23:00+00:00,2025-10-23T18:50:00+00:00,27.00,2.00,11.75,0.00,293,6,2,2,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:20a68ba4-de91-4e46-9bd0-802747c9f59b,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39368,Done,Done,Saba Stratford,2025-10-23T17:37:00+00:00,2025-10-23T18:15:00+00:00,38.00,1.00,9.20,0.00,292,5,2,3,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:a1703bf2-c790-48bf-a653-220ba1fdd2cd,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39367,Done,Done,Q-park Queensway,2025-10-23T17:30:00+00:00,2025-10-23T18:16:00+00:00,46.00,1.00,16.00,0.00,293,5,3,4,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:83efb755-7977-4a41-8203-029cc7409a6a,true,true,false,0,false,0,,,,,Request to transfer subscription/pass to a different hub,,,,,gpt-4o-mini,,,
CC-39366,Done,Done,Q-Park Oxford street,2025-10-23T16:46:00+00:00,2025-10-23T17:30:00+00:00,44.00,5.00,16.50,1.00,296,8,3,4,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:0c8ce929-dad7-42b3-8eb9-ffe219484bdd,true,true,false,0,false,0,,,,,My account is blocked,,,,,gpt-4o-mini,,,
CC-39365,Done,Done,Q-Park Pimlico,2025-10-23T16:45:00+00:00,2025-10-23T17:00:00+00:00,15.00,1.00,1.21,0.28,318,15,18,20,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:de936d36-56d3-4b1b-ad6f-2773d1f42bda,true,true,false,0,false,0,,,,,info/question about my current subscription / pass,,,,,gpt-4o-mini,,,
CC-39364,Done,Done,Q-Park Tower Bridge,2025-10-23T16:34:00+00:00,2025-10-23T17:14:00+00:00,40.00,1.00,20.33,0.00,290,4,1,2,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:aadb5cd6-32e5-46fe-b4de-6b21f43dfd6a,true,true,false,0,false,0,,,,,Rental start issue,,,,,gpt-4o-mini,,,
CC-39363,Done,Done,Q-Park Leicester Square,2025-10-23T16:28:00+00:00,2025-10-23T17:15:00+00:00,47.00,1.00,3.80,1.53,317,13,19,14,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:b7bf7656-b940-4c8d-a51b-46621c2ae40d,true,true,false,0,false,0,,,,,Rental finish issue,,,,,gpt-4o-mini,,,
